customer_id,full_name,dob,nationality,id_type,id_number,type
C605626,Laylah Bakre,,LB,,,individual
C524338,"Tsoiy, Valentina",,RU,,,individual
C817781,Wang Engineering Limited Liability Company,,JO,,,entity
C615614,Golden Wave V,,IR,,,vessel
C132923,Marwen bin Ismayl Mahdie,1971,JO,,,individual
C382543,Billal ben Abdol Aziz Faris,1975-11-01,LB,,,individual
C166134,Euphrates Energy FZE,,US,,,entity
C661910,"Hosaini, Nasren",1992-11-22,AF,,,individual
C165909,Yassire ibn Faysale ElNadjdjare,1958,YE,,,individual
C767051,Golden Wave Queen,,PA,,,vessel
C644982,Mahsah Hashimmi,,AF,,,individual
C309131,Huang Agro Free Zone Establishment,,BY,,,entity
C864266,Frank Larsen,1957-03-11,US,passport,US72788482,individual
C973360,MT Golden Wave,,KM,,,vessel
C336219,Matthew A. Mac Donald,1984-12-12,BR,,,individual
C378764,Andrew J. Mac Donald,1981-05-17,MX,,,individual
C233407,Hammeed Akbari,1968-11-21,AF,,,individual
C179418,Sasha,,GB,,,individual
C300949,"Baltic Import Export, Ltd",,GB,,,entity
C912280,MV Eastern Promise Star,,RU,imo,IMO9759719,vessel
C316424,Marlin Star Express,,IR,,,vessel
C431551,Parvez Ebrahemi,1959-06-10,IR,,,individual
C226894,"Mahmoudi, Ehsen",1966-09-24,IR,,,individual
C565803,"Nasrala, Khalid",1973-10,AE,,,individual
C452522,Atare Salma El,1961-07-25,JO,,,individual
C247640,Kammal bin Hammeed El Douri,1988,IQ,,,individual
C606307,Oxana Andreewa,1974-05-03,RU,,,individual
C207976,Storm Petrel Queen,,PA,,,vessel
C134782,Michael A. Smith-Jones,1999-03-20,GB,,,individual
C724428,Behrouz Karimy,1958,IR,,,individual
C807088,Jennifer J. Bianci,,BR,,,individual
C556944,Hisham Ghanim,1969-07-18,SY,,,individual
C920345,Kamren Esfahanie,1956-01-07,AF,,,individual
C473443,Crimson Dawn Alpha,,PA,imo,IMO9694071,vessel
C138941,Theo J. Johansson,1977-01-01,BR,,,individual
C717443,Faysal Kanaen,1974-09-27,RU,,,individual
C232678,Husain Bakr,1995-10-15,IQ,,,individual
C995379,Samera Zaydi,,SY,,,individual
C400786,Zahrah Rezaai,1985-02-22,AF,passport,AF84167835,individual
C300105,"Emerald Bay Maritime, Corp.",,IR,,,entity
C542272,"Pavlov, Alekseiy Alexandrovich",,BY,,,individual
C866431,Abdola Abas,1997,AE,,,individual
C950760,Zhou Agro OAO,,JO,,,entity
C673841,Moradie Hossain,1956-03-27,KZ,,,individual
C357751,Ehsene Moussavi,,IR,,,individual
C312616,Mahsa Rahemi,1977-06-24,AF,,,individual
C591430,Amer Ahmadi,,SY,,,individual
C499691,Steven M. Fischer,1996-06-27,DE,,,individual
C775774,Jim A. Smith-Jones,1955-02-12,FR,,,individual
C571550,"Kozlov, Vyacheslav",1964-12-10,UA,,,individual
C104592,Mikhail Mikhailovich Tsvetkov,1969-08-14,BY,,,individual
C377725,Lin,,JO,registration,REG-798507,entity
C200467,Darya Yashina,,RU,,,individual
C527548,M/T Hormuz Pride III,,IR,,,vessel
C962600,Hanen Mansour,,JO,,,individual
C260893,Ameere Yazdani,,AF,passport,AF84575158,individual
C466438,Jamie de la Cruz,1971-08-19,GB,passport,GB45596473,individual
C877456,Abdel Kareem Ghanim,1957,LB,,,individual
C350387,"Kravchenko, Vladimir",1995-12-05,KZ,,,individual
C830888,Weis Thomas A.,,BR,,,individual
C283469,Edward A. Fisher,1990-09-26,AU,,,individual
C953125,"Novikov, Timur Sergeyevich",1964,RU,,,individual
C592379,Yelizaveta M.,,UA,passport,UA53889542,individual
C703116,Mahsah Nazari,1974-02-09,IR,,,individual
C729160,Rezaai Parissah,1993,AF,,,individual
C905174,"Yazdani, Maryam",1976-03-03,AF,,,individual
C154367,Boris Ivanovitsch Belousow,1981-11-11,UA,,,individual
C346048,Stephen A. Rodrigues,,AU,,,individual
C459964,"Sokoloff, Maxim",1967-01-10,UA,,,individual
C756310,Jamal Hakeem,,JO,,,individual
C811790,Al-Noor Textiles Corp,,AF,,,entity
C273622,Joe A. Nguyen,1955-07-06,BR,,,individual
C843078,Ted Johansen,1969,FR,,,individual
C616570,Amer Sheerazi,1961-08-02,DE,,,individual
C376458,Chen Minerals LLC,,EG,,,entity
C367723,Aisha El Masri,1998-06-23,EG,,,individual
C774665,Raniah Ad-Douri,,AE,,,individual
C122528,Charlie Olson,1959-12-14,CA,passport,CA33452841,individual
C999342,Omed Hashimmi,1970-12,AF,,,individual
C122970,Rashed At-Tikreti,,SA,,,individual
C868670,Sergeiy Chernov,,RU,,,individual
C895223,Jennifer Vanderberg,1998-10-12,FR,,,individual
C250781,"Olson, Katie",1953-10-25,US,,,individual
C317592,Ljudmila Jaschina,,UA,,,individual
C865705,Popova Tatiana,,BY,,,individual
C695951,Golnaz Yazdani,,IR,,,individual
C982064,Javed Rahmani,1964-07-05,IR,,,individual
C783317,The Dai Chemicals AO,,AU,,,entity
C578461,Saaid Gafari,1960-09-03,AF,,,individual
C912636,"Ebrahemmi, Paresa",1993-02,AF,,,individual
C270631,"Volkov, Gennady Mikhailovich",1974-10-23,UA,,,individual
C526510,Nikolay Tzvetkov,1981-10-02,BY,,,individual
C977020,Khallede Farisse,1967-06-09,JO,,,individual
C295360,Dariush Tehrani,,IR,,,individual
C480030,Nizaar At-Tikrity,1972-12-09,YE,,,individual
C416261,Michail Schevchenko,1991,RU,,,individual
C731984,Frank Lefevre,1978-08-05,CA,,,individual
C654805,Unnamed hull,,CM,imo,IMO9951813,vessel
C366173,Farhad Rezai,1995-11-19,AF,,,individual
C929979,MV Red Falcon One,,CM,,,vessel
C370706,Maryaam Tehranie,1960-01,IR,,,individual
C948962,Oleg Fedoroff,1957-02-26,BY,,,individual
C577133,"Kermani, Hamed",,AF,,,individual
C348316,Fernandez Freddie J.,1980-11,DE,,,individual
C131407,Hamzah Yasen,1950-04-04,EG,,,individual
C568214,Jamal Qasseem,1966,YE,,,individual
C230523,Oxana Nikolaewna Zchaikowskaya,2000-05-19,UA,,,individual
C443647,Aly Al Sabah,1968-04-04,SA,,,individual
C593604,Omed Hosaini,1988-02-20,AF,,,individual
C373934,Talal Awed,,YE,,,individual
C527985,Hamza al-Khateb,,SY,,,individual
C244114,Massoud Tabrezi,,AF,,,individual
C598172,Zied Al Khateb,1971-08-24,AE,,,individual
C245494,Larson Ed J.,1983-10-02,CA,,,individual
C156521,Yassir Mahdy,,YE,,,individual
C329779,Madsched Ghanim,1978-10-27,SY,,,individual
C197903,Anatoly Alexeevich Petrov,1994,RU,,,individual
C610649,Golnaz Ahmadi,,AF,,,individual
C438151,Pacific Glory,,RU,imo,IMO9130511,vessel
C393137,Zahrah Mohammadi,1994-06-23,IR,,,individual
C703346,Henry OBrien,1975-11-08,CA,,,individual
C980366,Andreij Krawtschenko,1997-11-01,UA,,,individual
C407168,Fateema Kanaen,1968-04-23,JO,passport,JO29788213,individual
C252762,Alexandr Tsoiy,,KZ,,,individual
C488099,Grigory Lebedev,1976-01-13,BY,,,individual
C126186,Shahram Ahmadie,,IR,,,individual
C349906,Husain Darwesh,,AE,,,individual
C679111,MT Desert Rose One,,LR,,,vessel
C813321,Hisham El-Sayid,1978,EG,,,individual
C203088,Mariam bin Hamed Sulten,1954-11-19,SA,,,individual
C730819,Janna Tchaikovskaya,,UA,passport,UA91403254,individual
C208764,Jose A. Du Bois,1957-07-08,GB,,,individual
C963257,Wang Steel Inc,,GB,,,entity
C136330,"Fernandes, Kit A.",,AE,,,individual
C786770,James J. Schroeder,1995-08-24,FR,,,individual
C349063,Fatimmih Yazdani,,IR,passport,IR50123275,individual
C843532,Jamal Sallih,1999-11-23,LB,,,individual
C727287,The Ivory Coast Chemicals Ltd.,,UA,,,entity
C429038,Dot J. Bianchi,1967-04-23,BR,,,individual
C710894,Abd al-Azeze ibn Adnane Sultene,1991-02-18,EG,,,individual
C664370,The Luo Industries Ltd.,,RU,,,entity
C680808,"Tkatchenko, Marina Sergueyevna",1990-02,UA,,,individual
C402190,Salmah An-Nadschdschar,1990,AE,,,individual
C230259,Denis Petrovich Tsoiy,1973-10-28,BY,,,individual
C853678,Salmah Mansour,1981-04-17,SA,,,individual
C971146,"Shen Petroleum, FZ-LLC",,AE,,,entity
C170802,Fjodor Zacharov,1952-03-13,RU,,,individual
C409035,"Mansour, Hanen",1978-12-18,JO,,,individual
C219596,Tehrani Farhed,1999-12-25,AF,,,individual
C239067,Waleed bin Samer Hakeem,1953-04-24,SY,,,individual
C752460,Khadeejah ElSchamsi,,JO,,,individual
C534751,Stanislaff Alexeevich Bondarenko,1967-06-14,UA,,,individual
C291435,Jen J. Weiss,1974-06-18,GB,,,individual
C634092,Bobby M. Fischer,1968-05-01,MX,,,individual
C407623,Khaleed Hadded,1970-08-07,SY,,,individual
C918888,Valentina Vladimirovna Volkova,1993-01-21,RU,,,individual
C966699,Baltic Swan IV Express,,PA,,,vessel
C986325,Mikhail Tsoiy,1989-01-01,KZ,,,individual
C371778,Salmah ibn Nabel El Atar,1975-04-04,JO,,,individual
C329652,Denis Sokolov,,KZ,,,individual
C273444,José A. Novak,,FR,,,individual
C428002,Albatross II,,LR,imo,IMO9673230,vessel
C618619,Kammal ben Omar Sulten,1982-08,EG,,,individual
C522458,Saaid Esfahani,1993-06-17,AF,,,individual
C451350,Amber Petroleum G.m.b.H.,,AF,,,entity
C661600,Tallaal Darweesh,,YE,,,individual
C149086,Zaynab ibn Yussof Awed,1957-07-28,IQ,,,individual
C952280,"Fedorov, Stanislav",1977,RU,,,individual
C433755,Husain ibn Talal Al-Sayid,,YE,,,individual
C862094,"Shishkin, Konstantin",2000-09,KZ,,,individual
C697274,Charles A. Smith-Jones,1964,BR,,,individual
C185481,"Zwetkow, Anatoly",1964-04-14,RU,,,individual
C649895,Kavih Mohamadi,1988-11-26,IR,,,individual
C760799,Ruslan Andreew,,RU,,,individual
C156373,Mesopotamia Steel,,AF,,,entity
C191016,Viktoriya Sergeyevna Kiseleva,2000-04-10,KZ,,,individual
C257291,Ahmed el-Rashed,1986-04-05,SY,,,individual
C167350,Parvez Ghassimmi,,AF,passport,AF38623245,individual
C124500,Saed ElRashed,1989-12-08,EG,,,individual
C632062,Will Andersson,1970-01-21,CA,,,individual
C852587,Khallede El Chamsi,1961-08-01,EG,,,individual
C855533,MV Sea Lion Star,,MH,imo,IMO9356667,vessel
C994217,Nataliya Kravtchenko,1976-07-02,KZ,,,individual
C951774,Zamzam Logistics FZ-LLC,,JO,,,entity
C859119,Nizar bin Rami Schamsi,1979,AE,,,individual
C915541,Fatemmehe Rezaai,1957-10-17,IR,,,individual
C705993,Omar Nasir,,SY,,,individual
C781813,El Jefe,,SY,,,individual
C650906,Niloufar Hashimi,,AF,,,individual
C178511,Alexeiy Vladimirovich Semionov,1968-04-26,KZ,,,individual
C938293,Abdel Karem bin Bashar Kanaen,,SA,,,individual
C111412,"Petersen, Stephen",1997,DE,,,individual
C304008,Arash Rostammie,1971,AF,passport,AF97720226,individual
C521165,Walleed Sulten,,IQ,,,individual
C404155,Charles M. Smith-Jones,1967-09-25,AU,,,individual
C916893,Sergey Zaitsev,,BY,,,individual
C278274,Pacific Rim Pharma Limited,,IR,,,entity
C217323,Ismayl ibn Yusof Ar-Rashed,1990-10-09,LB,,,individual
C303917,Anouare Zaydi,,JO,,,individual
C336054,Victoria Nguyen,1992-10-15,BR,,,individual
C778183,Coral Reef Star Express,,KM,,,vessel
C932802,Valentina Kozlova,1997-04-06,KZ,,,individual
C763360,"O'Brien, Nicholas",,MX,,,individual
C966952,Rick A. Bianci,1993-01-16,GB,,,individual
C773985,Wind Runner One Spirit,,KM,,,vessel
C599250,Waled b. Yussoof Salmen,1993-05-13,JO,,,individual
C352156,Mahdi,,AE,passport,AE21705598,individual
C321228,فاطمة بن سامي الشمسي,1989-05-10,LB,,,individual
C221981,Viktor Kozlov,1969-05-21,UA,,,individual
C826362,"Farahani, Siavasch",,IR,,,individual
C302591,Maggie Hernández,1982-01-28,BR,,,individual
C283293,Nikolaiy Sergeyevich Chernov,2000-04,KZ,,,individual
C770156,Elisabeth Mayer,1984,DE,,,individual
C518731,Hamed Kermani,,AF,,,individual
C610262,"Kowalsky, Dan A.",1962,GB,,,individual
C501416,Massoud Esfahani,1997-04,IR,,,individual
C155141,Andrey Kravchenko,1984-07-24,UA,,,individual
C158368,al-Amin,1974-05-07,AE,passport,AE88158787,individual
C788683,Hisham Al Atar,1982-08-12,SA,,,individual
C496418,Volga International,,JO,registration,REG-131803,entity
C258485,Ted A. Fernández,1972,AU,,,individual
C546706,Jimmy Du Bois,1996-12-25,FR,,,individual
C448240,Ye Steel Co.,,LB,,,entity
C438769,"Chichkin, Semen",1956-08-16,UA,,,individual
C228724,Boris Petrovich Tkachenko,1998,UA,passport,UA28111626,individual
C567848,"Fedoroff, Mikhail",1992-05-16,LB,,,individual
C334561,Аркадий Николаевич Шишкин,,SY,,,individual
C383882,Al-Noor International,,EG,registration,REG-608607,entity
C988808,Tommy A. Nguyen,1951-10-23,CA,,,individual
C552542,Nadejda Fedoroffa,,UA,,,individual
C171015,Liz Hernandez,1994,IQ,,,individual
C535987,Hamid Zaydi,,SA,,,individual
C166389,Paco J. Du Bois,1960-10-05,GB,,,individual
C589693,Muhamed ibn Ibrahem Abas,,SY,,,individual
C847516,MT Hormuz Pride II,,LR,,,vessel
C695097,Henry M. Fisher,1958-07-13,AU,,,individual
C617592,Nasren Jafari,1961-03-25,AF,,,individual
C811080,Valery Nikolaevich Kovalenko,1972-10-14,RU,,,individual
C375996,Saaid Salihi,1958-01-07,AF,,,individual
C941004,Tallaal bin Abdul Karem Mansour,1967-02-19,YE,,,individual
C445696,Jammal Kanaen,,SY,,,individual
C225064,"Zhukov, Pavel",1956-12-09,JO,,,individual
C139596,"An-Najar, Ali",1973-05-04,AE,,,individual
C215277,Karakum & Partners,,KZ,registration,REG-801196,entity
C190685,Grigory Tsoiy,,UA,,,individual
C968291,Salmen Sammer,1971-04-26,YE,passport,YE61171706,individual
C134844,Bilal Shahen,1974-03-01,BY,,,individual
C598382,Dalaal AlAtar,1967-09,JO,,,individual
C247949,Mahmoud al-Jabouri,1952-12-12,IQ,,,individual
C187777,Victoria Smithjones,1974,FR,,,individual
C115936,Khalleed ar-Rascheed,1982-05-13,LB,,,individual
C906558,Arash Esfahani,1960-07-11,IR,,,individual
C536030,Kolya,,YE,,,individual
C370406,Nordic Star Alpha,,PA,imo,IMO9243224,vessel
C807858,Khadejah ibn Kamal Faris,1986,IR,,,individual
C563479,Emerald Bay Agro Public Joint Stock Company,,FR,,,entity
C271200,Song Petroleum Co,,KZ,,,entity
C739580,Altai Pharma Free Zone Establishment,,IR,,,entity
C973433,Khaleed Al Khateb,,LB,,,individual
C615990,Rammin Karimmi,1996-03-28,AF,,,individual
C828183,Rezai Arash,,IR,,,individual
C127229,Li Technologies GmbH,,SY,,,entity
C323876,"Johansen, Nicholas A.",1954-04-13,AU,,,individual
C847935,Olga Ivanovna Yegorova,1957-04-20,RU,,,individual
C105717,Arkady Sergeyevich Bykov,1964-06-19,KZ,,,individual
C416346,Delta Electronics Company,,LB,,,entity
C163648,Mariya Vladimirovna Andreeva,1984-12-01,KZ,passport,KZ85072106,individual
C220171,Larson Peggy M.,1981-01-24,BR,,,individual
C928643,Faysale Nasralahe,1972-08-26,EG,,,individual
C309429,Freddie A. Andersen,1962,GB,,,individual
C388411,Lefèvre Joey J.,1978-08-17,US,,,individual
C164826,"Shishkina, Yekaterina",1999-09-09,RU,,,individual
C258814,AL-HIJAZ,,RU,registration,REG-107962,entity
C845527,Moradi Massoud,,IR,,,individual
C659337,Camrene Moradi,,IR,,,individual
C766384,Hashimmi Golnaz,1953-08-13,AF,,,individual
C614479,Silk Road Electronics Corp,,DE,,,entity
C679448,Maryam Mohamadi,1991-05-01,IR,,,individual
C539061,Alexey Orlov,,UA,,,individual
C451322,Nguyễn Jennifer M.,1989-04-17,BR,,,individual
C746907,MV Arctic Dawn Star,,RU,imo,IMO9560621,vessel
C350617,MV Baltic Swan One,,KM,,,vessel
C287535,Babak Moradi,,IR,,,individual
C819488,Dick Kowalski,1966-06-10,BR,,,individual
C341342,"Garcia, Katherine",,US,,,individual
C724733,Houdah ad-Djabouri,2000-06-06,IQ,,,individual
C777019,"Ahmadi, Kamren",,RU,,,individual
C378976,Sapphire Metals,,IQ,,,entity
C443970,Abu Layth,,CA,,,individual
C428292,Maryam Rostammi,1966-03-28,IR,,,individual
C920132,Wang Metals GmbH,,US,,,entity
C657748,Charlie A. Kowalski,1975-06-02,CA,,,individual
C781372,William A. Müller,1970-09-14,FR,,,individual
C184606,Abdolla Awed,1993-03-01,AE,,,individual
C171389,Hank A. Rodríguez,1965-08-15,AU,,,individual
C701497,Karem Shahen,,EG,,,individual
C485277,Ali Shahen,1950-01-20,JO,,,individual
C439036,Jon A. Larson,1998-12-22,MX,,,individual
C949761,Andreij Makarow,1993-01-11,UA,,,individual
C283744,Юлия Владимировна Морозова,,BY,,,individual
C930331,Mariam Darwesh,1998-12-11,SA,,,individual
C761223,Mohsin Rahmani,1989,AF,,,individual
C668073,Anatoly Zakharov,,BY,,,individual
C977422,Golnaz Esfahani,2000-02-14,IR,,,individual
C489510,Susan M. Sorensen,1982-07-10,BR,,,individual
C292544,Arash Tabrezi,,IR,passport,IR48148203,individual
C208390,Xander J. Hernández,,BR,,,individual
C484170,Ma Energy LLC,,RU,,,entity
C579635,Maryam Sadighi,1954,AF,passport,AF63984360,individual
C858076,Vyacheslav Yakovlev,1963-02-15,RU,,,individual
C616708,Ocean Pearl One Spirit,,PA,,,vessel
C654202,Bengal Tiger Star,,PA,,,vessel
C672864,Hernandez José M.,,MX,,,individual
C135811,Sue Nguyen,1980-07-20,DE,,,individual
C512510,Berg Peggy Van der,1954,FR,,,individual
C697215,Tarek El Nadschdschar,,EG,,,individual
C955951,Nicholas A. OBrien,,MX,passport,MX82888785,individual
C185076,"Bykov, Viktor",1981,BR,,,individual
C724059,عبد الله طه,1988-06-16,SA,,,individual
C784923,Steven Schroeder,1981-08-26,MX,,,individual
C414322,"Salmene, Hamzahe",2000-09-20,IQ,,,individual
C365683,"Novikoffa, Viktorya",1961-07-01,KZ,,,individual
C278524,Richard J. Dubois,1989-07-15,SA,,,individual
C841646,Shahram Kermani,1968-07-08,IR,,,individual
C639253,M/V Sun Dancer Star,,RU,,,vessel
C531869,Nikolaiy Tsvetkov,1999-12-19,BY,,,individual
C947201,"Belousov, Konstantin Alexeevich",1965-04-05,KZ,,,individual
C850586,Ziade bin Kammalle ElAmene,1955,DE,,,individual
C586976,Mikhail Novikov,1983,BY,,,individual
C350445,Darja Stschistschkina,1950-02-19,BY,,,individual
C916846,Ivan Alexandrovich Shevchenko,1994-08-22,KZ,,,individual
C283629,Sammeera Sallih,1994-01-28,EG,,,individual
C756208,Zhanna Yashina,1971,BY,,,individual
C582421,Crimson Dawn One,,KM,,,vessel
C336973,Steven Fernandes,1996-04-19,US,,,individual
C709306,Babs Schmidt,1975-02,MX,,,individual
C569817,Daniel Delacruz,,MX,,,individual
C647393,Drew M. O Brien,1975-11-15,DE,,,individual
C840340,M/V Black Tide,,CM,,,vessel
C177795,Victoria J. Van der Berg,1988-06-03,AU,,,individual
C557137,Gao,,SY,registration,REG-931527,entity
C342492,Mustafah Abas,1986-05,KZ,,,individual
C858287,MV Night Hawk Star,,KM,imo,IMO9056271,vessel
C131248,Tom A. Novak,,FR,,,individual
C493801,Abdukarem b. Hamza ElFarsi,,YE,,,individual
C242985,Pedersen Babs M.,1994-06,US,,,individual
C221618,Tommy Schröder,,FR,,,individual
C881272,Aisha Azez,1976-11-15,AE,,,individual
C131775,Mortezah Rezaai,1987-02-20,AF,,,individual
C782398,NILE VALLEY CONSTRUCTION Co.,,CA,,,entity
C571359,"Ferreira, Joseph A.",,DE,,,individual
C272558,MV Falcon Bay Star,,CM,,,vessel
C934472,Unnamed hull,,MH,imo,IMO9042871,vessel
C975590,Mahsa Farahani,1978-05,IR,,,individual
C287889,Walleed Saleh,,EG,,,individual
C436477,Elizaveta Lebedeva,,RU,,,individual
C852396,Sahara Energy G.m.b.H.,,MX,,,entity
C593609,Arash Kermani,,IR,,,individual
C147831,Abdul Kareem Hakeem,1978-03-11,SY,,,individual
C280069,Sheereen Tabreezi,1996,YE,,,individual
C538210,"Schahen, Sammerah",1967-09-03,AE,,,individual
C398411,Timur Sokolov,1998-12-06,KZ,,,individual
C687337,Becca J. Nowak,1963-03-16,FR,,,individual
C714368,Schahram Mohamadi,1954,IR,,,individual
C685862,Altai Group,,YE,registration,REG-981918,entity
C655386,Kamren Sherazi,1951-03-04,AF,,,individual
C814144,Ali Al-Atar,,JO,,,individual
C570102,"Chernov, Maxim",1972-03-19,UA,,,individual
C189117,Galina Chaikovskaya,1995-12,KZ,,,individual
C943221,Sergey Tsvetkov,1951-08-27,RU,,,individual
C386609,Hadade Noure bin Ismaille,1999-11-05,YE,,,individual
C131186,Hamid Akbari,1965-08-18,AF,,,individual
C484695,Kowalski Frederick,1985,GB,,,individual
C296465,Wladimir Kusnetsow,1965-11-21,IQ,,,individual
C720570,دلال بركات,1991-11-23,EG,,,individual
C619139,Semen Grishin,1966-01-23,UA,,,individual
C384566,Majeed ibn Ibrahem Nasralah,1982-09-23,AE,,,individual
C151713,"Bois, Pete J. Du",1990,BR,,,individual
C876688,Joseph M. Schröder,1974-11-10,BR,,,individual
C418664,Caspian Moon,,MH,imo,IMO9018110,vessel
C928124,Anatoly Alexeevich Yegorow,1987-11-18,UA,,,individual
C551153,Vessel Desert Rose,,KM,imo,IMO9764710,vessel
C714059,Nasren Kareemmi,1999-08-06,IR,,,individual
C489122,Ye Petroleum,,AE,,,entity
C584290,Dot García,1993-09-13,MX,,,individual
C688619,Farise Carime,1973-12-08,IQ,,,individual
C600994,Viktor Semionov,1974-04-23,KZ,,,individual
C998053,Yury Grischin,1970-12-15,RU,,,individual
C849932,Trish M. Lindkvist,1989-02,BR,,,individual
C764435,el-Tikreti Ismayle,1971-08,YE,,,individual
C743407,Hamed Baghiri,,IR,,,individual
C223383,Barb Nguyễn,1964,DE,,,individual
C522253,Rouslan Iashin,1997,UA,,,individual
C721136,"Popov, Yury Petrovich",1983-07,UA,,,individual
C904289,Kamran Sadeghy,2000-11-24,AF,,,individual
C553630,Vladimir Popov,1953-02-11,KZ,,,individual
C908021,Pamir Agro Corp.,,CA,,,entity
C433549,Salmah Khourye,1957-10-27,EG,,,individual
C377005,El Jefe,1973-11-19,IR,,,individual
C941296,Yasir Haded,1962,SY,,,individual
C243283,Vova,,AF,,,individual
C394252,"Sultane, Hishame",,SA,,,individual
C662995,OBrien Ed A.,1966-07-27,MX,,,individual
C938371,The Colonel,,BR,,,individual
C537419,Victoria M. Silva,1997-07-21,AU,,,individual
C617723,"Moradi, Majeed",1971-11-03,IR,,,individual
C701564,Mohamadi Massoud,,IR,,,individual
C706046,"Ye Agro, S.A.",,LB,,,entity
C288706,Tiger Lily Star,,PA,,,vessel
C446490,Boris Sergeyevitsch Iwanow,1986,BY,,,individual
C431997,Nizar Awed,1970-11,LB,,,individual
C891212,Zahrah Tabrezi,1962-10-06,AF,,,individual
C919023,"Wolkow, Fiodor",,RU,,,individual
C444242,Katherine M. Sorenson,1974-02-15,AU,passport,AU64419651,individual
C588254,Vasily Petrovich Petrov,1983-10-18,KZ,,,individual
C571900,Peng Group,,IQ,registration,REG-713903,entity
C128825,James McDonald,1999-08-08,US,,,individual
C651154,Mahsah Akbary,1970-01-01,IR,,,individual
C255967,"Petrova, Valentina",1989-06-09,UA,,,individual
C596263,Mike J. Rodríguez,1994-06-25,GB,,,individual
C362925,Will M. Silva,1973-10-02,CA,,,individual
C800421,MV Silver Crest One,,MH,,,vessel
C183097,Faysal Hakeem,1959-10,SA,,,individual
C318944,Oleg Kovalenko,1991-10-15,UA,,,individual
C453269,Fatimmih Mahmoudi,,IR,,,individual
C306549,Carime Nasralahe,,SY,,,individual
C872277,Bengal Tiger II,,MH,,,vessel
C247509,Laylah Al Jabourie,1979-02,AE,,,individual
C234575,Viktoriya Lebedewa,1963,UA,,,individual
C888509,إسماعيل بركات,1978,YE,,,individual
C681718,Mariam El-Masri,,SA,,,individual
C685836,Sam Johansen,1957-12-16,BR,,,individual
C905459,Timur Alexeevich Smirnov,,EG,,,individual
C865992,Vicky Fisher,1951-01-26,MX,,,individual
C277008,Egorowa Anna,1957-11-04,KZ,,,individual
C559016,Jiang Construction Corp.,,BR,,,entity
C505645,Natalya Iwanowna Saitseva,1961-08-22,UA,,,individual
