record_id,full_name,dob,nationality,id_type,id_number,type
C816622,Tatiana Petrowa,1959-07-17,UA,,,individual
C865025,Aral,,AU,registration,REG-230507,entity
C431998,Aishah Shahen,1951-11-12,SA,document,SA62365667,individual
C224315,Theo A. Weis,1958-11-05,MX,document,MX91437044,individual
C923233,Pacific Rim Minerals SA,,JO,,,entity
C480297,Tahah Ahmed,1978-02,TN,,,individual
C881372,Crystal Steel GmbH,,US,,,entity
C704803,Mohamadi Javed,1959-02-27,TJ,,,individual
C493642,Poon Hsin Ying,,CN,,,individual
C681296,"Barakat, Hanen",1956-12-28,SA,,,individual
C217842,Meridian Energy,,GE,,,entity
C445920,Denis Shcherbakov,1980-09-27,KZ,,,individual
C115308,Saed Kanen,,SA,,,individual
C734885,Abdul Rahmen bin Abdool Karim Yasen,1972,KW,,,individual
C971935,Blue Horizon Holdings Group,,AE,registration,REG-745035,entity
C976392,MV Crimson Dawn Star,,PA,imo,IMO9451518,vessel
C557485,Oxana Smirnova,2000-07-03,UA,,,individual
C970842,Lotus International,,AU,registration,REG-767700,entity
C357576,"el-Sabahe, Majed",1995-05-25,LB,,,individual
C735462,Drew Fernández,1985-06-24,BR,,,individual
C297365,Rasheed Hudah El,1979-12-09,EG,,,individual
C244964,Sea Breeze Star Trader,,MH,,,vessel
C134332,Ehsen Yazdani,1999-02-04,TJ,,,individual
C605227,Wen-Mei Liu,,TW,,,individual
C930422,Semion Novikov,1972-03-27,SG,,,individual
C308474,James M. Lindkvist,1979-01-19,US,,,individual
C247146,"Kowalski, Margaret",1984-07-23,BY,,,individual
C220508,Evgeny Shcherbakov,1975-03-17,GR,,,individual
C899490,Rezah Mahmoudi,1952,GE,,,individual
C524037,Tang I,1989-10,CN,,,individual
C438368,Yelena Mikhailovna Kozlova,1956-11-10,KZ,,,individual
C127346,The Kamchatka Steel GmbH,,CA,,,entity
C943697,Nile Valley Pharma Corp.,,TJ,,,entity
C528087,Rasheede Hakimme,,JO,,,individual
C376391,Jennifer Johansson,1954-10-03,DE,,,individual
C250870,Feng-Mei Shen,1992-06-11,CN,,,individual
C793652,Green Meadow II,,PA,imo,IMO9294253,vessel
C855571,Irina Tkachenko,1999-08-02,KZ,,,individual
C185027,Zagros Engineering Limited,,SG,,,entity
C601738,"Sokolova, Viktorya",1973,KZ,,,individual
C280391,"Stepanov, Gennady Alexandrovich",,LB,,,individual
C791643,"Tswetkow, Gennady Mikhailovitsch",1969-03-02,GR,,,individual
C729265,Tallalle El Khateebe,1976-10-23,MA,,,individual
C797054,Unnamed hull,,MT,imo,IMO9859906,vessel
C407531,Vjacheslav Popow,1963-03-10,KZ,document,KZ59335361,individual
C913427,Yi Zhao,1967-02-02,HK,,,individual
C177735,"Akbari, Omed",,TJ,,,individual
C225771,Rick J. Vanderberg,1971-05-24,FR,,,individual
C594908,Marwen Salmen,1974-09-15,LB,,,individual
C701258,Kermani Kamren,1992-08-19,TJ,,,individual
C196979,Paco Rodriguez,1962-09-26,MX,,,individual
C256692,Javed Moussavi,1976-10-08,GE,,,individual
C768625,Baltic Textiles,,JO,,,entity
C813916,Kavih Kermani,1952-08-04,GE,,,individual
C177948,Fenghao Yuan,1993-07,HK,,,individual
C363926,Meridian Import Export Free Zone Establishment,,TJ,,,entity
C545301,Schröder Ricky M.,1991,GB,,,individual
C346811,Timur Orlov,,UA,,,individual
C952154,Ibraheem Al Masri,,JO,,,individual
C630964,Karakum Holdings,,HK,,,entity
C541606,M/T Bosporus IV,,GR,,,vessel
C504055,Faisal Darwesh,1963-08-04,SA,,,individual
C748672,Al-Noor Construction Inc.,,EG,,,entity
C808557,Atlas Shipping SA,,MA,,,entity
C985289,Luo Chungchun,1999-05-19,HK,,,individual
C815847,"Jaszina, Zhanna Mikhailowna",1988-08-26,KZ,,,individual
C707836,URAL,,CN,registration,REG-354093,entity
C810858,Nadezhda Smirnova,1994,BY,,,individual
C116350,Yingfang Tu,1954-01-18,CN,,,individual
C102005,Stanislav Ivanov,1976-11-18,KZ,,,individual
C512243,Bosphorus Investments FZ-LLC,,TJ,,,entity
C441507,"Andersson, Jose A.",1991-04-11,AU,,,individual
C824944,Phoenix Freight Sociedad Anonima,,GR,,,entity
C468626,"Kiselev, Stanislav",1978-03-26,GR,,,individual
C631982,Pamir Logistics Ltd,,HK,,,entity
C612219,Dariuche Mahmoudi,,TJ,,,individual
C514202,Li Qi,1957-12-24,HK,,,individual
C906372,Guo-Shu Deng,1980-11-17,CN,,,individual
C496252,Kowalski Joey J.,1960-03-04,AU,,,individual
C838310,Hamed Sherazi,1993-01-06,GE,,,individual
C762752,Sheereen Jafari,,GE,document,GE56069911,individual
C189885,Hossein Rahmani,1964-08-17,GE,,,individual
C827248,Yekaterina Orlova,1967-08-10,BY,,,individual
C611952,Hua Wen Chan,,SG,,,individual
C768891,Omed Moradi,1978-01-09,TJ,,,individual
C366991,Dalal AlTikritie,1964-01-05,SA,,,individual
C948097,Hamden Maged,,SA,document,SA22460037,individual
C276249,An Ying Feng,,CN,,,individual
C167404,Nabele Aoued,1987-02-03,TN,,,individual
C693993,Ehsaan Rezaey,1973-03-18,GE,document,GE72129623,individual
C826928,Maxim Zhukov,1969-08-27,BY,document,BY97111231,individual
C527801,Ameenah ibn Yusoof Amen,1960-02-07,SA,,,individual
C820683,Lau Hsia,1997-07-26,HK,,,individual
C255102,Behrouz Kermani,1966-10-03,GE,,,individual
C980682,Xiang-Hui Zhang,2000,CN,,,individual
C493812,Andrew M. Sorenson,,MX,document,MX50492450,individual
C711339,Anastasya Nikolaevna Kuznetsova,1978-08-14,GR,,,individual
C235959,"García, Trish",1993-09-24,MX,,,individual
C519046,Levant Metals Ltd,,SA,,,entity
C212012,Ocean Pearl Express,,LR,,,vessel
C111575,Nasrene Djafari,,TJ,,,individual
C140407,Charlie Nowak,1964-10-01,GB,,,individual
C429643,"Moussavi, Zahrah",1960-09-19,GE,document,GE81240810,individual
C826983,Theo A. Rodrigues,1972-09-23,AU,,,individual
C694683,Denis Stepanov,,BY,,,individual
C861333,"Nazari, Massoud",,TJ,,,individual
C932499,Parveze Rahemmi,1953-10,GE,,,individual
C791205,Charles A. Nguyễn,1976-04-11,DE,,,individual
C605723,Hisham Mahdi,,GB,,,individual
C536238,Sahara Shipping Sociedad Anonima,,MA,,,entity
C443184,Irina Vladimirovna Kuznetsova,1986-12-23,GR,,,individual
C791858,"Belousowa, Marja Mikhailowna",1988-08,KZ,,,individual
C483159,Harbor Point Import Export Limited,,DE,,,entity
C179053,Alexandr Alekseevitch Morozoff,1975-03-04,UA,document,UA36452932,individual
C170362,Pao Chiang,,HK,,,individual
C560611,Lindqvist Bob J.,1969-04,BR,,,individual
C818331,Qiang Yun Fung,1974-08-16,HK,,,individual
C783887,Hsu Longan,1957-02-05,TW,,,individual
C138647,Crystal Engineering Sociedad Anonima,,GE,,,entity
C883595,Javed Zammani,1951-01-22,TJ,,,individual
C635514,"Grishin, Stanislav",1991,BY,,,individual
C809105,"Sadighi, Kamren",1969-09-12,TJ,,,individual
C120175,Euphrates Chemicals S.A.,,UA,,,entity
C475217,Said Tabrezi,,GE,,,individual
C302837,Fatimah as-Sayid,,MA,document,MA56427206,individual
C736111,Rasheed Shaheen,1995-11-18,TN,,,individual
C664678,Djavade Baghiri,1999-08-08,GE,,,individual
C612474,Nabel Sallih,1972-06-13,AE,,,individual
C635719,Abd al-Azez Al Rashed,,EG,,,individual
C298434,Golnaz Akbari,1968-05-14,TJ,,,individual
C441244,Tigris Shipping Limited Liability Company,,BR,,,entity
C600570,Parvez Hashimi,1962-12-19,GE,,,individual
C751785,Jon M. Smithjones,1987,FR,,,individual
C374697,Charles M. Hernández,1951-12-04,BR,,,individual
C674216,Golnaz Tabrezi,1978-04-18,GE,,,individual
C478852,Oxana Chernova,,KZ,,,individual
C338081,Yekaterina Saiseva,,UA,,,individual
C470241,ad-Douri Sami,,MA,,,individual
C779328,"Kovalenko, Vyacheslav Vladimirovich",,BY,,,individual
C951531,Feng-Po Chu,1978-02-16,SG,,,individual
C420758,MV Bosporus Star,,CY,imo,IMO9891875,vessel
C422528,Boris Semenow,1995-06-14,GR,,,individual
C259272,Dorothy Nowak,1987-01-11,DE,,,individual
C241828,Zied bin Ali Tahah,1977-08-17,AE,,,individual
C640780,حمزة مهدي,,AE,,,individual
C594265,Kanen Amena b. Hisham,1958-05-16,JO,,,individual
C246467,Jianzhi Wu,1990-11-05,SG,,,individual
C867390,Galina Nikolaevna Grishina,1992-12-10,UA,,,individual
C505533,Massoud Esfahani,1999-03-21,GE,document,GE34792919,individual
C305855,The Emerald Bay Petroleum Free Zone Establishment,,AU,,,entity
C345934,Rouslan Zakharoff,1953-09-02,BY,,,individual
C829589,"Lebedeva, Yelena",1961-03-10,KZ,,,individual
C263119,Nilloufar Farahani,1974-12-07,TJ,,,individual
C966653,LEVANT FREIGHT Corp,,UA,,,entity
C953039,Zahra Rahmani,,TJ,,,individual
C718703,Jim Weis,,CA,,,individual
C221420,Iwan Iwanowich Zaharov,1986-12-16,KZ,,,individual
C864115,Nile Valley Steel Ltd.,,BR,,,entity
C161585,Tabrezi Niloufar,1958-07-15,TJ,,,individual
C288296,Sheng Chao,,AU,,,individual
C899284,Yenisei Pharma SA,,UA,,,entity
C643667,Nadezhda Orlova,1988,GR,,,individual
C481666,Mohsine Nazari,,GE,,,individual
C308402,Feng Ying-Kuei,,SG,,,individual
C430328,Tareeq ElNajar,,JO,,,individual
C842298,Hudah Barakat,1996-03-10,TN,,,individual
C419577,Kseniya Popova,1987-05-13,BY,,,individual
C829583,Dang Feng-Tian,1966-12-15,CN,,,individual
C891810,Hamza az-Zahrani,,LB,document,LB68270367,individual
C355031,"Bakr, Mustafah ibn Yassir",1973-03-04,JO,,,individual
C507149,Feng Xin Liu,1995-01,HK,,,individual
C898650,Nadezhda Wladimirowna Nowikowa,1993-04-23,BY,,,individual
C728237,Ng Kai-Kun,1986-01-02,CN,,,individual
C980412,Sammer Zaydi,1973-04-25,AE,,,individual
C459315,Khaled b. Tallal AsSaba,1987,TN,,,individual
C957941,Mehdi Ahmadi,1967-04-21,GE,,,individual
C499682,Fatimih Moussavi,1962-03-02,TJ,,,individual
C402095,Jekaterina Popowa,,GR,document,GR61249971,individual
C815039,Marouane bin Ismayle AzZahrani,1967-01-20,JO,,,individual
C129171,"Novikoff, Mikhail",1950-06-18,UA,,,individual
C220392,"Taha, Hasen",,KW,,,individual
C327446,Peter M. Mueller,1974-05-19,MX,,,individual
C138311,"Tabrezi, Amer",1958-10,GE,,,individual
C381944,Shengkun Han,1963-02-08,HK,,,individual
C443388,Don Pepe,1954-05-11,GE,,,individual
C708735,Rezaai Hamed,1988,TJ,,,individual
C753366,Kuei-Lan Fan,1966-11-15,TW,,,individual
C235020,Berg Anthony M. van den,1965,GB,,,individual
C370296,Poling Chiang,1965-06-04,TW,,,individual
C879922,Evgeny Kiselev,1998-06-21,GR,,,individual
C265266,Hajji Omar,1975-08-03,SG,,,individual
C639294,Mikhail Chaikovsky,1955-04-03,BY,,,individual
C199637,Ping-Chien Suen,,SG,document,SG85516167,individual
C802093,Alexandr Popov,,GR,,,individual
C156170,"Tsoy, Andrey",,GR,,,individual
C466389,"Pavloffa, Nadejda",1957-12-09,GR,,,individual
C266300,Alexander A. Larsen,1983-03-08,GB,,,individual
C929841,Francisco Du Bois,1984-12-01,FR,,,individual
C371741,PACIFIC RIM AVIATION AO,,LB,,,entity
C861883,Mustafah bin Yussof ad-Douri,1984-04-16,EG,,,individual
C396378,Anastasiya Wolkowa,,UA,,,individual
C459607,Khadeeja ar-Rasheed,,AE,,,individual
C522956,Semen Fedorow,1993-04-28,UA,,,individual
C858280,Kavih Sallehi,1968-01-03,TJ,,,individual
C613586,"Sabah, Hussain Al",,AE,,,individual
C385988,Viktor Yakovlev,1980,KZ,,,individual
C320904,Elisabeth M. Novak,1999-05-28,GB,,,individual
C546128,The Zagros Electronics Corp.,,SA,,,entity
C546347,Kuo Kuo Tang,,TW,,,individual
C441228,Jafari Massoud,1954,TJ,,,individual
C398516,Mustafah Bakr,,JO,document,JO83847480,individual
C262095,Mariya Mikhailovna Pavlova,1980-11,BY,,,individual
C882746,Bosphorus Chemicals Joint Stock Company,,KZ,,,entity
C724677,Samira Khoury,1976-01-07,LB,,,individual
C718334,Nataliya Mikhailovna Semenova,1954-04-14,KZ,,,individual
C776580,Tung-Chi Tai,,TW,,,individual
C544238,Siavache Kermani,1961-09-23,TJ,,,individual
C638700,Jammal Khoury,1963-08-22,SA,,,individual
C644150,Michael A. Rodríguez,1990-01-09,BR,,,individual
C606345,Yelena Volkova,1991,BY,,,individual
C157776,Juei-Wei Hoo,,CN,,,individual
C717075,M/V Pacific Glory II,,CY,,,vessel
C972808,Viktor Stepanoff,1999-10-08,GR,,,individual
C522242,Wiktor Iwanowich Grischin,1991,BY,,,individual
C625816,Tori Nguyễn,1959-12,US,,,individual
C963816,Shahram Mahmoudi,1968-12-04,TJ,,,individual
C888672,Hammeed Rahmani,1965,TJ,,,individual
C861007,The Northern Lights Agro Co,,TJ,,,entity
C576188,Mah Xia,1958-08-15,HK,,,individual
C168712,"Al-Jabouri, Fatimma",1963-03-22,KW,,,individual
C377090,An Na Hsu,,CN,,,individual
C930377,"Rahmani, Zahra",1974-07-13,TJ,,,individual
C675737,Tigris Pharma Public Joint Stock Company,,SA,,,entity
C987424,Delta Engineering Inc,,BY,,,entity
C827611,Walled Haded,1974-01-09,TN,,,individual
C509685,"Orlova, Marina",1985-01-03,BY,,,individual
C119828,Pete J. Lefèvre,1965-05-20,DE,,,individual
C332366,"Salmen, Fahd",1976-03-18,SA,,,individual
C823430,Schröder Samuel,1970-01-08,MX,,,individual
C288557,Kowalski James A.,1984-06-13,FR,,,individual
C927980,Hsiao-Hua Sun,,HK,,,individual
C343373,Pacific Rim Energy,,MX,,,entity
C686569,Dariush Mahmoudi,,GE,,,individual
C508472,Walled Khoury,1993-04-07,MA,,,individual
C915298,Joey J. Andersen,1982-01-21,AU,,,individual
C373648,Andreiy Nikolaev,1974-07-14,BY,,,individual
C996835,Paresa Sadighi,1990,GE,,,individual
C404391,Wasily Bykow,1999-02-21,UA,,,individual
C251339,Hsueh-Ting Ma,1978-12-27,SG,,,individual
C119529,Saed Azez,,MA,,,individual
C739427,Sinai Maritime LLC,,BR,,,entity
C820983,M. al-Khatib,1965-04-11,SA,document,SA46521585,individual
C383355,Lei Wei Fan,1993-08-23,CN,,,individual
C651366,Yassir Hakeem,1972-03-25,JO,,,individual
C134432,Stanislaw Iwanowich Kravtschenko,,UA,,,individual
C867218,Faissale ibn Sami Darweshe,1983-10-04,SA,,,individual
C702382,Zhanna Cwetkowa,1970-07-18,KZ,,,individual
C959450,M/V Grand Voyager Star,,CY,,,vessel
C634054,Babs Lindkvist,,CA,,,individual
C246586,"Sorenson, Matthew M.",1984-02-25,FR,,,individual
C297113,al-Sabah,,TN,document,TN10926529,individual
C313531,Damavand & Partners,,CA,registration,REG-848858,entity
C181946,Sinai Maritime GmbH,,AU,,,entity
C931772,Mehdi Yazdani,1980-07-15,GE,,,individual
C359080,Hoo Kun Guo,1953-06-22,SG,,,individual
C866932,Siavach Sheerazi,1955-02-25,GE,,,individual
C527100,Kai Fang Chiu,1960-07-13,SG,,,individual
C817775,Caspian Moon One Spirit,,PA,,,vessel
C752694,Kai Zhong Cao,1959-02-18,CN,document,CN57360368,individual
C372087,Hsia-Hsiao Hsieh,,CN,,,individual
C374423,Salleem Taha,1953-08-07,TN,,,individual
C207372,The Jade Dragon Energy Co,,KZ,,,entity
C864779,Baghiri Hosaine,1977-02-24,GE,,,individual
C245853,Becca Lindquist,1952-08-15,GB,,,individual
C796993,"ElHashemi, Nour",,MA,,,individual
C116072,شهرام مرادی,2000-05-13,GE,,,individual
C293583,al-Rashid,,JO,document,JO95227736,individual
C524157,Fahd ben Yasir Mansour,1963-03-03,LB,,,individual
C718791,Oleg Chernov,1952-11-01,UA,,,individual
C400204,Saed Khoury,1996,TN,,,individual
C395102,Trish M. Silva,,DE,,,individual
C702275,Tareek El-Atar,,AE,,,individual
C704413,Chieh-Hsueh Tseng,1990-04-05,CN,,,individual
C344416,Janna Tzvetkoffa,1964-10-17,KZ,,,individual
C450364,Juei Hui Ma,,HK,,,individual
C976496,Majed ben Saed Al Shamsi,1989-12-19,SA,,,individual
C845945,"Andreewa, Yekaterina",1993,BY,,,individual
C306950,Grand Voyager Alpha,,MT,imo,IMO9114033,vessel
C140369,Laillah Yazdani,1959-06-09,GE,,,individual
C638763,Darya Nikolaeva,,KZ,,,individual
C623929,Nikolaij Fedorow,1967,GR,,,individual
C397063,Tatiana Nikolaevna Kiseliova,1994,GR,,,individual
C891362,Maryam Sallihi,1961-10-16,TJ,,,individual
C336742,Northern Lights Holdings Limited,,MA,,,entity
C289337,Mehdi Ebrahemmi,,GE,,,individual
C822360,Sahara Import & Export Company,,DE,,,entity
C767950,Salem Abas,1989-05-14,AE,,,individual
C320702,Paco Smith-Jones,1999-06-24,AU,,,individual
C135507,Mihail Smirnow,1957-06-24,KZ,,,individual
C644088,Sallem AsSayid,,LB,,,individual
C325545,Babak Mahmoudi,1975,GE,,,individual
C148711,Amber Road Freight Company,,SA,,,entity
C100010,Kseniya Andreeva,1953-11-01,UA,,,individual
C698300,Al-Bahr Group,,AE,registration,REG-366675,entity
C492678,Sheren Esfahani,,GE,document,GE81258804,individual
C654129,TABRIZ ENERGY FZE,,JO,,,entity
C140445,The Emerald Bay Electronics FZ-LLC,,CA,,,entity
C961491,Kavih Rahimie,1954-01-23,GE,,,individual
C585042,Farahani Reza,1977-01-01,GE,,,individual
C876069,Chris A. Weiss,,FR,,,individual
C802932,Zamzam Freight Co.,,US,,,entity
C646679,Omeed Sherazi,1977,TJ,,,individual
C151255,Shu-Jian Tso,1990,CN,,,individual
C349597,Hosain Sadighi,1977,TJ,,,individual
C991891,Nasren Karemi,1961-12,GE,,,individual
C749192,Mesopotamia Chemicals Co,,EG,,,entity
C760079,Maggie van den Berg,1978-01-12,GB,,,individual
C966092,C. Smith-Jones,,AU,document,AU12656920,individual
C112740,"Silva, Thomas Da",1968-06-22,AU,,,individual
